,mean_time,mean_score_test,mean_score_train
122,0.00756684939066569,0.8021920228108176,0.8268212898597787
123,0.01266320546468099,0.8796018368865286,0.9046190651791431
124,0.021716833114624023,0.8960154368835966,0.9120429231635744
125,0.04154197374979655,0.8905491235207236,0.9093083969493657
126,0.12424739201863606,0.8772599165118214,0.8948363228740687
127,0.24733575185139975,0.888201705680348,0.9065702014614717
128,0.003725131352742513,0.7771034219891297,0.7721298482571868
129,0.005054950714111328,0.7982191876211733,0.837399805895422
130,0.007463852564493815,0.8623672820163238,0.8792153074759618
131,0.012540499369303385,0.8975748846448454,0.9159566622084991
132,0.023311376571655273,0.9038291680868453,0.9222063526135319
133,0.04279065132141113,0.9014872477121382,0.919470909080902
134,0.12598546346028647,0.8842930075901676,0.9069586858129367
135,0.25213829676310223,0.8967997419856113,0.9159525342756027
136,0.00350801150004069,0.7778913920682565,0.7736920415288396
137,0.00519863764444987,0.8060475787328708,0.8459978314592518
138,0.008029540379842123,0.8639450546631336,0.896808098820879
139,0.01340635617574056,0.9093138063352795,0.9272919659418016
140,0.023010730743408203,0.91164473177865,0.9308103407471009
141,0.04395159085591634,0.9093064763810551,0.924164368784021
142,0.12729835510253906,0.891326098668514,0.9159516169571814
143,0.2511189778645833,0.9022697203255966,0.9245537704539074
144,0.004285494486490886,0.7904091213950369,0.7908871753380778
145,0.005398670832316081,0.8154335851172609,0.8491254286170324
146,0.007875680923461914,0.8655099998900507,0.9007158752960646
147,0.01328579584757487,0.9116538942214306,0.9311979077801444
148,0.022162596384684246,0.9124235394149963,0.940581157912697
149,0.04228671391805013,0.9124308693692208,0.9351111881658585
150,0.14554691314697266,0.8960136043950406,0.9284624642475144
151,0.2536775271097819,0.9069590585406795,0.9362835211084142
152,0.0038215319315592446,0.7959084195519198,0.8076878622261118
153,0.005217075347900391,0.8201412482179049,0.8674924367096155
